Date,Close/Last,Volume,Open,High,Low
11/07/2023,$13.64,2354364,$13.47,$13.79,$13.23
11/06/2023,$13.53,2164399,$13.99,$14.045,$13.485
11/03/2023,$13.87,2966237,$13.90,$14.40,$13.8314
11/02/2023,$13.64,3566585,$13.37,$13.695,$13.275
11/01/2023,$13.01,3430138,$13.78,$13.80,$13.01
10/31/2023,$13.77,4574637,$12.85,$13.90,$12.82
10/30/2023,$12.80,3475939,$13.15,$13.27,$12.59
10/27/2023,$13.12,2481701,$13.51,$13.615,$13.02
10/26/2023,$13.50,2036419,$13.73,$13.80,$13.41
10/25/2023,$13.71,1967280,$14.01,$14.01,$13.605
10/24/2023,$14.04,3738325,$13.59,$14.30,$13.552
10/23/2023,$13.44,2785462,$13.28,$13.59,$13.04
10/20/2023,$13.44,3661770,$13.18,$13.80,$13.12
10/19/2023,$13.16,5808038,$13.80,$13.85,$12.90
10/18/2023,$13.85,4045789,$14.00,$14.25,$13.8101
10/17/2023,$14.12,3842428,$14.25,$14.828,$14.10
10/16/2023,$14.43,3508601,$14.81,$14.93,$14.15
10/13/2023,$14.92,1835601,$14.92,$15.105,$14.78
10/12/2023,$15.09,3180340,$15.77,$15.80,$14.82
10/11/2023,$15.82,2098203,$16.01,$16.085,$15.74
10/10/2023,$16.00,2915872,$15.50,$16.19,$15.40
10/09/2023,$15.40,2276323,$14.77,$15.50,$14.72
10/06/2023,$15.08,2467053,$14.59,$15.255,$14.58
10/05/2023,$14.71,1945094,$14.70,$14.98,$14.58
10/04/2023,$14.87,2586368,$14.77,$14.94,$14.44
10/03/2023,$14.60,4510325,$15.29,$15.29,$14.5681
10/02/2023,$15.39,6087651,$16.30,$16.31,$15.255
09/29/2023,$16.46,3397024,$17.05,$17.26,$16.40
09/28/2023,$16.84,7431938,$18.02,$18.10,$16.44
09/27/2023,$17.15,1681325,$16.87,$17.26,$16.81
09/26/2023,$16.78,2726813,$17.38,$17.8175,$16.78
09/25/2023,$17.67,2181230,$17.00,$17.72,$16.85
09/22/2023,$17.18,2102886,$17.18,$17.35,$17.00
09/21/2023,$17.02,2913533,$17.28,$17.315,$16.65
09/20/2023,$17.52,2134121,$17.63,$17.93,$17.45
09/19/2023,$17.52,2584791,$17.59,$17.635,$17.13
09/18/2023,$17.55,3694591,$17.99,$18.10,$17.35
09/15/2023,$18.22,6166608,$18.36,$18.61,$18.15
09/14/2023,$18.33,3077962,$17.80,$18.52,$17.60
09/13/2023,$17.81,3012556,$17.31,$17.93,$17.27
09/12/2023,$17.23,5179405,$17.53,$18.50,$17.19
09/11/2023,$17.02,3543797,$17.85,$17.85,$16.90
09/08/2023,$17.71,4694034,$18.15,$18.50,$17.35
09/07/2023,$18.89,5021288,$19.13,$19.48,$17.61
09/06/2023,$18.75,6107245,$19.06,$19.15,$18.42
09/05/2023,$19.23,3781292,$18.45,$19.3399,$18.26
09/01/2023,$18.42,2135901,$18.66,$18.73,$18.32
08/31/2023,$18.55,4674143,$18.41,$19.42,$18.15
08/30/2023,$18.37,1884501,$18.20,$18.525,$17.91
08/29/2023,$18.24,2709238,$17.60,$18.55,$17.60
08/28/2023,$17.57,3007418,$17.35,$18.11,$17.25
08/25/2023,$17.13,3423462,$16.50,$17.18,$16.45
08/24/2023,$16.36,3624485,$16.94,$16.98,$16.18
08/23/2023,$16.89,2909054,$17.25,$17.34,$16.88
08/22/2023,$17.26,3791911,$18.62,$18.62,$17.25
08/21/2023,$18.48,2864735,$18.30,$18.8225,$18.20
08/18/2023,$18.36,2029098,$18.18,$18.66,$18.14
08/17/2023,$18.38,2056830,$18.79,$18.81,$18.30
08/16/2023,$18.59,3015627,$19.18,$19.34,$18.55
08/15/2023,$19.33,2290326,$19.77,$19.78,$19.09
08/14/2023,$19.96,3329291,$19.75,$20.01,$19.08
